,knn,b-ridge,svr,gb,mons-rg(parzen),rf,mons-rg(vparzen),mons-rg(dmdbscan)
0,0.729121186,1.3195980228,0.4447382152,0.13349213,0.204586,0.1783758358,?,0.349
1,3250.4082694796,4693.1871678035,9752.3763858268,5833.7137129165,2442.8,2939.419999789,?,3908.6
2,63.2737152932,82.3147981917,36.7368905638,0.8704795617,38.1231,1.1024208515,?,1.587
3,12.4746021558,7.2967820935,1.7544398986,11.0920619302,11.9655,11.4435611321,?,23.469
4,0.10395,0.1101156763,0.1020567043,0.1501135168,0.122071,0.1134627649,?,0.0983
5,0.0991503898,0.1520515034,0.1035583461,0.1580609846,0.086749,0.124522289,?,0.1204
6,1.2975804009,0.6837905966,0.3493066621,0.2826473417,1.07047,0.2982016829,?,1.3699
7,4072.3752091655,4053.3500644291,4178.8721943501,4190.0993019519,3872.62,4653.2723361916,?,4168.2
8,0.0460428337,0.0594682481,0.0357777397,0.0481969743,0.0513718,0.0338643585,?,0.0467
9,0.1735650706,0.1522721901,0.1510816543,0.1786607426,0.179966,0.1617996629,?,0.1681
10,14.4631695801,11.4995047288,7.1182748392,7.2976846779,15.6314,7.428337042,?,14.5769
11,244.3604203842,285.4276808819,244.3216702878,247.766811109,255.301,248.1889195217,?,380.217
12,1803.2878989454,1943.4783659033,1678.6961782644,1744.0839861399,1811.65,1717.5307213382,?,3046.2
13,255.0413231135,278.6426651223,240.6809937018,244.4328825923,256.338,244.8090675291,?,453.677
14,1698.9267318522,1889.1627124898,1611.595286222,1586.4292551519,1695.84,1613.7541415236,?,?
15,0.4066714147,0.4255043996,0.3906146485,0.3271752498,0.435035,0.331589591,?,?
16,0.4299199224,0.5679830367,0.4767950831,0.3438969945,0.490576,0.3558157575,?,?
17,2.5398921876,89.5994737714,82.5962174555,26.9702377685,8.1377,28.5537333031,?,?
18,3.36963345211393E-06,3.16693068552493E-06,0.00005625,0.000000304,,0.000000271,,
19,3.51747085268792E-06,3.16844264558375E-06,0.00005625,2.90483895047074E-07,,0.00000026,,
